15:58:58  [main] 	Initializing Control Panel
15:58:58  [main] 	Windows Version:  Enterprise  64-bit
15:58:58  [main] 	XAMPP Version: 7.3.2
15:58:58  [main] 	Control Panel Version: 3.2.3  [ Compiled: Mar 7th 2019 ]
15:58:58  [main] 	You are not running with administrator rights! This will work for
15:58:58  [main] 	most application stuff but whenever you do something with services
15:58:58  [main] 	there will be a security dialogue or things will break! So think 
15:58:58  [main] 	about running this application with administrator rights!
15:58:58  [main] 	XAMPP Installation Directory: "c:\xampp\"
15:58:58  [main] 	Checking for prerequisites
15:59:03  [main] 	All prerequisites found
15:59:03  [main] 	Initializing Modules
15:59:03  [main] 	Starting Check-Timer
15:59:03  [main] 	Control Panel Ready
15:59:35  [Apache] 	Attempting to start Apache app...
15:59:35  [Apache] 	Status change detected: running
15:59:36  [mysql] 	Attempting to start MySQL app...
15:59:37  [mysql] 	Status change detected: running
16:26:45  [Apache] 	Attempting to stop Apache (PID: 9500)
16:26:45  [Apache] 	Attempting to stop Apache (PID: 10768)
16:26:45  [Apache] 	Status change detected: stopped
16:26:46  [mysql] 	Attempting to stop MySQL app...
16:26:46  [mysql] 	Status change detected: stopped
16:26:48  [main] 	Deinitializing Modules
16:26:48  [main] 	Deinitializing Control Panel

